,Year,Zipcode,Median_Income
1514,2020,78701,127782
1515,2020,78702,72906
1516,2020,78703,108065
1517,2020,78704,78861
1518,2020,78705,23509
1522,2020,78721,55359
1523,2020,78722,75274
1524,2020,78723,72764
1525,2020,78724,58095
1528,2020,78727,83603
1532,2020,78731,85586
1534,2020,78733,171027
1536,2020,78735,100000
1537,2020,78736,97184
1539,2020,78738,117371
1540,2020,78739,169023
1541,2020,78741,52048
1543,2020,78744,62905
1544,2020,78745,68669
1545,2020,78746,151488
1546,2020,78747,84098
1547,2020,78748,88688
1549,2020,78750,100489
1550,2020,78751,61735
1554,2020,78756,84779
1555,2020,78757,77560
1557,2020,78759,87080
