,GEOID,month,filings_2020
232,78615,01/2021,0
233,78615,02/2021,0
234,78615,03/2021,0
235,78615,04/2021,0
236,78615,05/2021,0
237,78615,06/2021,0
238,78615,07/2021,0
239,78615,08/2021,0
240,78615,09/2021,1
241,78615,10/2021,0
242,78615,11/2021,1
243,78615,12/2021,0
244,78615,01/2022,0
245,78615,02/2022,0
246,78615,03/2022,0
247,78615,04/2022,0
248,78615,05/2022,0
249,78615,06/2022,0
250,78615,07/2022,0
251,78615,08/2022,0
252,78615,09/2022,0
253,78615,10/2022,0
254,78615,11/2022,0
255,78615,12/2022,0
256,78615,01/2023,0
257,78615,02/2023,0
258,78615,03/2023,0
259,78615,04/2023,0
260,78615,05/2023,0
261,78615,06/2023,0
262,78615,07/2023,0
263,78615,08/2023,0
264,78616,01/2020,0
265,78616,02/2020,0
266,78616,03/2020,0
267,78616,04/2020,0
268,78616,05/2020,0
269,78616,06/2020,0
270,78616,07/2020,0
271,78616,08/2020,0
272,78616,09/2020,0
273,78616,10/2020,0
274,78616,11/2020,0
275,78616,12/2020,0
276,78616,01/2021,0
277,78616,02/2021,0
278,78616,03/2021,0
279,78616,04/2021,0
280,78616,05/2021,0
281,78616,06/2021,0
282,78616,07/2021,0
283,78616,08/2021,0
284,78616,09/2021,0
285,78616,10/2021,0
286,78616,11/2021,0
287,78616,12/2021,0
288,78616,01/2022,0
289,78616,02/2022,0
290,78616,03/2022,0
291,78616,04/2022,0
292,78616,05/2022,0
293,78616,06/2022,0
294,78616,07/2022,0
295,78616,08/2022,0
296,78616,09/2022,0
297,78616,10/2022,0
298,78616,11/2022,0
299,78616,12/2022,0
300,78616,01/2023,0
301,78616,02/2023,0
302,78616,03/2023,0
303,78616,04/2023,0
304,78616,05/2023,0
305,78616,06/2023,0
306,78616,07/2023,0
307,78616,08/2023,0
308,78617,01/2020,8
309,78617,02/2020,10
310,78617,03/2020,4
311,78617,04/2020,0
312,78617,05/2020,1
313,78617,06/2020,1
314,78617,07/2020,5
315,78617,08/2020,0
316,78617,09/2020,10
317,78617,10/2020,4
318,78617,11/2020,1
319,78617,12/2020,3
320,78617,01/2021,2
321,78617,02/2021,0
322,78617,03/2021,6
323,78617,04/2021,5
324,78617,05/2021,3
325,78617,06/2021,1
326,78617,07/2021,3
327,78617,08/2021,5
328,78617,09/2021,0
329,78617,10/2021,3
330,78617,11/2021,3
331,78617,12/2021,3
332,78617,01/2022,6
333,78617,02/2022,16
334,78617,03/2022,9
335,78617,04/2022,14
336,78617,05/2022,8
337,78617,06/2022,13
338,78617,07/2022,5
339,78617,08/2022,9
340,78617,09/2022,10
341,78617,10/2022,17
342,78617,11/2022,14
343,78617,12/2022,15
344,78617,01/2023,6
345,78617,02/2023,4
346,78617,03/2023,6
347,78617,04/2023,12
348,78617,05/2023,10
349,78617,06/2023,3
350,78617,07/2023,6
351,78617,08/2023,0
352,78620,01/2020,0
353,78620,02/2020,0
354,78620,03/2020,1
355,78620,04/2020,0
356,78620,05/2020,1
357,78620,06/2020,0
358,78620,07/2020,0
359,78620,08/2020,0
360,78620,09/2020,0
361,78620,10/2020,0
362,78620,11/2020,0
363,78620,12/2020,0
364,78620,01/2021,0
365,78620,02/2021,0
366,78620,03/2021,0
367,78620,04/2021,0
368,78620,05/2021,0
369,78620,06/2021,0
370,78620,07/2021,0
371,78620,08/2021,0
372,78620,09/2021,0
373,78620,10/2021,0
374,78620,11/2021,0
375,78620,12/2021,0
376,78620,01/2022,0
377,78620,02/2022,0
378,78620,03/2022,0
379,78620,04/2022,0
380,78620,05/2022,1
381,78620,06/2022,0
382,78620,07/2022,0
383,78620,08/2022,0
384,78620,09/2022,0
385,78620,10/2022,0
386,78620,11/2022,0
387,78620,12/2022,0
388,78620,01/2023,0
389,78620,02/2023,0
390,78620,03/2023,0
391,78620,04/2023,0
392,78620,05/2023,0
393,78620,06/2023,0
394,78620,07/2023,0
395,78620,08/2023,0
396,78621,01/2020,3
397,78621,02/2020,1
398,78621,03/2020,0
399,78621,04/2020,0
400,78621,05/2020,2
401,78621,06/2020,0
402,78621,07/2020,0
403,78621,08/2020,0
404,78621,09/2020,0
405,78621,10/2020,0
406,78621,11/2020,0
407,78621,12/2020,0
408,78621,01/2021,0
409,78621,02/2021,0
410,78621,03/2021,0
411,78621,04/2021,2
412,78621,05/2021,0
413,78621,06/2021,0
414,78621,07/2021,1
415,78621,08/2021,1
416,78621,09/2021,1
417,78621,10/2021,1
418,78621,11/2021,1
419,78621,12/2021,1
420,78621,01/2022,1
421,78621,02/2022,0
422,78621,03/2022,0
423,78621,04/2022,1
424,78621,05/2022,0
425,78621,06/2022,0
426,78621,07/2022,2
427,78621,08/2022,3
428,78621,09/2022,0
429,78621,10/2022,4
430,78621,11/2022,1
431,78621,12/2022,2
432,78621,01/2023,2
433,78621,02/2023,1
434,78621,03/2023,0
435,78621,04/2023,0
436,78621,05/2023,0
437,78621,06/2023,6
438,78621,07/2023,1
439,78621,08/2023,1
440,78634,01/2020,0
441,78634,02/2020,0
442,78634,03/2020,0
443,78634,04/2020,0
444,78634,05/2020,0
445,78634,06/2020,0
446,78634,07/2020,0
447,78634,08/2020,0
448,78634,09/2020,0
449,78634,10/2020,0
450,78634,11/2020,0
451,78634,12/2020,0
452,78634,01/2021,0
453,78634,02/2021,0
454,78634,03/2021,0
455,78634,04/2021,0
456,78634,05/2021,0
457,78634,06/2021,0
458,78634,07/2021,1
459,78634,08/2021,0
460,78634,09/2021,0
461,78634,10/2021,0
462,78634,11/2021,0
463,78634,12/2021,0
464,78634,01/2022,1
465,78634,02/2022,0
466,78634,03/2022,0
467,78634,04/2022,0
468,78634,05/2022,0
469,78634,06/2022,0
470,78634,07/2022,0
471,78634,08/2022,0
472,78634,09/2022,0
473,78634,10/2022,0
474,78634,11/2022,0
475,78634,12/2022,0
476,78634,01/2023,1
477,78634,02/2023,1
478,78634,03/2023,0
479,78634,04/2023,0
480,78634,05/2023,1
481,78634,06/2023,1
482,78634,07/2023,0
483,78634,08/2023,0
484,78640,01/2020,0
485,78640,02/2020,0
486,78640,03/2020,0
487,78640,04/2020,0
488,78640,05/2020,0
489,78640,06/2020,0
490,78640,07/2020,0
491,78640,08/2020,0
492,78640,09/2020,0
493,78640,10/2020,0
494,78640,11/2020,0
495,78640,12/2020,0
496,78640,01/2021,0
497,78640,02/2021,0
498,78640,03/2021,0
499,78640,04/2021,0
500,78640,05/2021,0
501,78640,06/2021,0
502,78640,07/2021,0
503,78640,08/2021,0
504,78640,09/2021,0
505,78640,10/2021,1
506,78640,11/2021,0
507,78640,12/2021,0
508,78640,01/2022,0
509,78640,02/2022,0
510,78640,03/2022,0
511,78640,04/2022,0
512,78640,05/2022,0
513,78640,06/2022,0
514,78640,07/2022,0
515,78640,08/2022,0
516,78640,09/2022,0
517,78640,10/2022,0
518,78640,11/2022,0
519,78640,12/2022,0
520,78640,01/2023,0
521,78640,02/2023,0
522,78640,03/2023,0
523,78640,04/2023,0
524,78640,05/2023,0
525,78640,06/2023,0
526,78640,07/2023,0
527,78640,08/2023,0
528,78641,01/2020,3
529,78641,02/2020,0
530,78641,03/2020,0
531,78641,04/2020,0
532,78641,05/2020,2
533,78641,06/2020,1
534,78641,07/2020,1
535,78641,08/2020,0
536,78641,09/2020,1
537,78641,10/2020,1
538,78641,11/2020,0
539,78641,12/2020,1
540,78641,01/2021,1
541,78641,02/2021,0
542,78641,03/2021,1
543,78641,04/2021,1
544,78641,05/2021,1
545,78641,06/2021,0
546,78641,07/2021,2
547,78641,08/2021,3
548,78641,09/2021,3
549,78641,10/2021,2
550,78641,11/2021,5
551,78641,12/2021,2
552,78641,01/2022,2
553,78641,02/2022,1
554,78641,03/2022,0
555,78641,04/2022,1
556,78641,05/2022,3
557,78641,06/2022,4
558,78641,07/2022,0
559,78641,08/2022,4
560,78641,09/2022,2
561,78641,10/2022,1
562,78641,11/2022,0
563,78641,12/2022,1
564,78641,01/2023,0
565,78641,02/2023,3
566,78641,03/2023,2
567,78641,04/2023,0
568,78641,05/2023,3
569,78641,06/2023,1
570,78641,07/2023,0
571,78641,08/2023,0
572,78642,01/2020,0
573,78642,02/2020,0
574,78642,03/2020,0
575,78642,04/2020,0
576,78642,05/2020,0
577,78642,06/2020,0
578,78642,07/2020,0
579,78642,08/2020,0
580,78642,09/2020,0
581,78642,10/2020,0
582,78642,11/2020,0
583,78642,12/2020,0
584,78642,01/2021,0
585,78642,02/2021,0
586,78642,03/2021,0
587,78642,04/2021,0
588,78642,05/2021,0
589,78642,06/2021,0
590,78642,07/2021,0
591,78642,08/2021,0
592,78642,09/2021,0
593,78642,10/2021,0
594,78642,11/2021,0
595,78642,12/2021,0
596,78642,01/2022,0
597,78642,02/2022,0
