,RegionName,Metro,CountyName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
22846,78702,"Austin-Round Rock-Georgetown, TX",Travis County,477877.4248,484669.1116,492296.3315,498584.558,502362.1599,503288.4546,504235.6736,508158.1141,516040.7609,525155.9115,534745.8436,544511.5018,554649.7197,565270.3367,576966.5125,592020.6247,609793.3317,628489.2723,642866.9971,650450.0089,652056.9135,653104.4397,656505.441,662499.1119,674500.932,691885.1778,716196.8968,740946.433,763376.5945,777350.6022,780744.8915,773514.6278,760545.4198,747284.929,736418.3626,724914.9588,713863.3838,702723.9537,693752.6143,685294.4349,677824.4667,671668.546,666337.4659
22851,78705,"Austin-Round Rock-Georgetown, TX",Travis County,581779.2221,588800.1029,597488.3197,604227.8538,608160.9583,608888.0257,610251.2726,613744.4544,621848.5557,632212.3387,645049.7169,657439.5495,668662.8675,680996.5209,696156.768,714426.5969,733730.0341,752541.7744,767070.432,773901.9001,773308.3651,772579.0674,774876.2097,781467.1695,796533.5929,818762.5719,849317.407,876234.0421,897758.6092,908933.2176,909377.1598,899945.8902,883457.7043,866887.41,853788.9415,842241.993,832829.2215,824808.1403,819720.6165,817392.8419,816038.9491,814864.0681,813331.7606
22902,78703,"Austin-Round Rock-Georgetown, TX",Travis County,1090881.086,1101277.39,1114206.449,1124785.5,1129834.612,1129794.417,1129255.434,1134797.093,1149699.226,1168995.991,1190466.765,1210555.951,1231887.793,1254733.139,1280018.36,1311463.331,1346474.875,1386025.162,1417763.44,1438537.183,1446325.478,1455706.32,1469586.813,1491908.843,1528300.428,1580898.853,1651031.114,1719981.497,1775656.768,1807384.856,1812283.145,1797064.733,1767761.751,1741057.02,1729374.304,1725401.12,1724153.347,1714405.964,1705350.599,1695364.2,1688746.799,1679933.178,1672910.377
22925,78747,"Austin-Round Rock-Georgetown, TX",Travis County,301535.9759,303756.7262,305780.9597,307467.5569,308993.9861,310781.5519,312994.3635,315948.6703,319823.0282,324896.9402,331180.8795,337961.2234,345205.3139,352640.2092,360753.6974,370142.049,380561.6692,391705.272,400742.9739,406729.3496,409532.8499,411522.4552,414214.2472,418053.9287,423985.3916,432286.7355,442490.3484,452817.1732,460928.6776,465902.691,466069.8946,462672.5344,456694.8385,450293.1179,443389.8465,435347.2189,427769.3514,421886.7038,418676.3913,416614.746,415444.5365,415192.567,415311.5688
22930,78739,"Austin-Round Rock-Georgetown, TX",Travis County,619745.8389,624766.379,629999.4483,635071.4549,638224.5895,640324.59,642413.61,647010.8322,654063.7035,662128.496,671489.3717,681489.0949,692994.9311,704872.6247,717871.4974,733200.0843,750852.4878,768574.5599,780100.5306,783730.8352,780526.0533,777389.1085,778974.0304,786530.4268,800502.9505,817528.9217,837363.5257,856824.3922,872267.1994,880569.4187,878959.4937,872003.9209,862546.3769,855612.0925,850542.1773,845168.8269,839376.8503,833196.0521,829234.927,826409.8184,826124.4225,827922.823,829898.691
22953,78732,"Austin-Round Rock-Georgetown, TX",Travis County,632297.0392,637059.6911,642036.805,646171.5049,649412.6524,651778.3404,654691.9616,659718.2808,667481.5663,677980.2104,690923.4614,705578.1721,721307.3393,736926.9702,753087.7812,770832.0209,789863.2228,810463.1085,826363.1962,835673.4045,837527.6779,838254.8053,842112.8969,850290.4171,864101.4358,881711.5886,904102.5132,927597.5394,947269.8994,957170.0881,953358.2242,941402.977,925256.0709,913300.9674,904136.5872,896282.1281,887343.2484,878758.7204,872704.8639,868242.1692,866331.0941,867798.5641,869742.8301
22957,78752,"Austin-Round Rock-Georgetown, TX",Travis County,372868.1741,377066.6841,381852.156,386422.5859,389368.9553,390862.7584,392229.6551,395865.4729,401937.2165,408766.3193,415644.3286,422618.7527,430342.0711,438252.7553,445932.9776,454290.035,464269.7941,474826.6034,482284.7974,485213.3865,483868.2532,482581.8857,482590.1228,485721.1279,493729.3897,505460.7395,520963.571,534850.4946,546372.3553,551758.6927,549957.4083,542194.1565,531916.0993,523143.6305,515988.8058,508754.6268,502786.0742,497299.4401,493385.8792,489977.7833,486960.6066,484799.0319,481566.3629
23048,78751,"Austin-Round Rock-Georgetown, TX",Travis County,521562.7643,527813.6819,534943.7001,540727.446,543575.6501,543483.1937,543287.8508,545890.2202,552736.1735,561702.9612,571856.3942,581771.1332,591395.2953,601441.0831,612160.2301,625165.1548,639467.366,654550.4471,665080.5751,669835.7112,668516.7177,667273.6255,668166.5757,673036.1906,684568.9058,701347.7732,724493.1899,745844.7318,763268.3325,772019.383,773045.7188,767737.4099,758626.3496,749573.4191,742851.2131,736091.2869,730802.1247,724451.315,719252.0728,713539.2308,708907.1231,704750.9158,700421.4782
23091,78726,"Austin-Round Rock-Georgetown, TX",Travis County,548280.8527,551993.9323,556268.7218,560005.4863,561979.4376,562761.3871,564011.045,568417.9896,576036.5903,585759.4411,596502.3443,607752.5428,620306.1791,633312.751,646795.7645,661091.1353,676910.9379,692039.9819,702090.7231,705053.6043,702539.2654,700466.997,702704.6924,709997.0134,722265.3766,737615.6568,757290.7074,777435.1724,794355.9162,803667.3753,803775.7635,798702.0003,790561.3552,784376.249,780178.0525,776541.4538,772696.3392,767498.7217,764585.1782,763255.1856,764648.8288,767855.2702,770339.8947
23135,78733,"Austin-Round Rock-Georgetown, TX",Travis County,791176.9685,798933.8913,807704.396,814806.1634,818413.1817,819962.7292,822796.3486,830670.2412,843092.7094,858133.7435,874645.1277,892458.5093,913277.7588,936559.3673,964867.9165,997213.312,1033228.626,1067279.449,1091225.668,1101348.67,1101760.473,1103093.655,1111364.189,1124982.84,1147004.305,1175341.431,1213681.617,1251859.327,1283318.971,1297907.202,1295119.798,1279358.308,1254757.37,1232256.826,1216416.638,1204127.762,1193393.72,1180311.745,1171881.354,1165845.67,1164396.731,1166994.61,1170699.533
23159,78701,"Austin-Round Rock-Georgetown, TX",Travis County,376722.1627,378874.0996,384386.9081,388101.2819,389591.4967,388718.4654,388874.2659,390959.8395,394394.7078,397562.524,400682.0828,404513.3691,410428.0247,418829.3369,429289.8097,439047.0505,447867.627,453888.5046,463832.6252,473458.9203,484488.219,493793.5827,505604.4659,517852.0334,526196.048,531706.819,536537.2479,542221.4978,548149.7408,552106.8139,552910.2404,548112.0651,537962.8949,525833.7556,512498.9107,500299.9894,488284.6163,484988.5376,488864.0443,500364.1567,511000.3823,515714.9018,513228.633
23161,78736,"Austin-Round Rock-Georgetown, TX",Travis County,430244.5431,434111.7413,438938.6852,443361.2906,445504.0618,446337.0657,448057.7644,452857.8651,460257.1661,469069.6808,479103.7394,489870.2336,501737.9951,515446.7505,531066.5568,549046.8314,567666.7695,585719.0721,597364.4322,601715.4656,599577.2085,597087.8478,597192.6392,601482.8394,611788.8302,626271.1327,644279.047,661561.8723,675739.8552,683606.9356,682797.5402,675053.5468,663416.8456,653590.1286,645297.1739,637308.5952,628312.4288,621472.3316,618242.6354,618258.3055,619837.8225,622710.5836,625341.8001
23165,78721,"Austin-Round Rock-Georgetown, TX",Travis County,343959.1852,348154.6266,353167.6815,357683.1193,360977.6545,362797.191,365075.363,368170.88,373253.0246,378993.7993,385917.7301,393142.7947,400684.141,408250.1838,416061.5248,425358.1021,436627.5764,448301.4168,457141.2103,460730.4319,460484.2283,460515.4471,462619.411,467061.4357,475214.4957,486527.2818,501226.543,515306.577,527524.5183,534847.116,535851.4459,531487.4178,524419.2895,517014.3682,510173.1301,501970.214,494834.0117,488454.471,484082.9558,480265.8851,476938.969,474767.8097,472386.4809
23176,78756,"Austin-Round Rock-Georgetown, TX",Travis County,621858.0219,627662.0257,635345.7285,642444.3224,646310.1225,646451.4395,645259.4185,647421.5613,654665.665,664967.1471,676986.5306,687786.5565,697817.0205,706812.9741,716994.8575,729716.5117,744608.6629,761135.5194,774203.0263,781724.2122,782626.433,784111.9109,788670.2867,797280.9163,812545.269,834082.2921,864941.2435,894075.5993,916724.3472,927101.2987,926633.5521,918189.619,904086.7166,890769.6835,881273.9036,873641.3817,869070.6836,863093.1,857743.2044,851263.3721,847404.537,844059.8656,840711.4483
23191,78730,"Austin-Round Rock-Georgetown, TX",Travis County,914103.9989,922164.8357,930958.5433,938351.9085,943025.3156,944766.4427,947696.1757,956687.8355,973109.0045,995761.1641,1021981.038,1048888.45,1075697.169,1100818.725,1126817.179,1154330.928,1185225.083,1217100.298,1242787.145,1256408.988,1257634.206,1257148.448,1262859.578,1276656.856,1297992.663,1325405.387,1364234.115,1404780.18,1437762.369,1452592.353,1449630.016,1435682.902,1414383.336,1395904.265,1384762.787,1377042.855,1368016.969,1353918.644,1342305.028,1335040.638,1333347.314,1336112.223,1337083.078
23212,78652,"Austin-Round Rock-Georgetown, TX",Travis County,350321.1485,353157.5152,356245.7984,358657.4207,360132.4599,361370.028,363744.0307,368034.5912,373920.0839,380583.7683,388273.6856,396238.4916,404243.9864,412616.6132,423630.8699,438364.4725,455470.9959,473143.5567,487268.3761,497342.6904,502291.6119,505689.8049,509466.3155,514611.1981,524165.51,536617.1137,552648.2292,568552.499,582115.4869,590120.5026,589403.9846,583236.3093,573618.2313,565578.7525,557723.5233,549788.0668,542489.5562,536315.0465,532761.1199,529572.34,528353.7524,528832.906,529990.1949
23272,78725,"Austin-Round Rock-Georgetown, TX",Travis County,226814.8586,228133.4871,228768.4337,229148.393,229209.7832,229631.1233,230702.1626,232587.9858,235346.3445,238943.0704,243661.1247,248888.8587,254575.7081,260610.9815,267357.0544,275818.4633,285983.071,297416.2443,306665.7502,312719.4863,315995.4677,318563.6432,321902.1406,326357.821,334196.4639,344410.4567,355564.2232,365093.5057,371839.2266,375829.2358,376560.4824,375268.4293,372247.1171,368437.9209,363514.4207,357665.7914,351750.4125,346301.7489,342018.1047,338273.7069,335972.7963,335030.024,334797.5181
23312,78722,"Austin-Round Rock-Georgetown, TX",Travis County,495757.339,501305.1395,507858.5998,513563.4726,516562.2643,517056.966,516691.2686,519172.4668,525242.8381,533253.2605,542043.7116,551101.1666,560786.0007,571083.8938,582042.1056,594196.4579,608247.8791,622667.702,633078.7527,636906.8224,634635.2554,632623.6932,632256.9561,635443.3472,644150.9812,658324.9756,678747.1463,699084.544,716975.8478,727281.6938,729071.1916,724103.2263,716130.1338,707402.9225,698751.4058,687972.3269,678566.2173,668842.7211,660019.1995,651419.6721,645261.3088,642017.376,638587.366
23475,78719,"Austin-Round Rock-Georgetown, TX",Travis County,225989.8206,228207.1205,230416.2173,232183.0747,233273.985,234265.5713,236508.5162,240501.2363,245481.5511,250181.4346,254148.1704,257903.6949,263529.0579,270988.494,279806.8901,289926.0158,301441.983,315888.5122,328575.2519,337987.1821,341823.5465,344436.0066,347571.6022,352989.2741,361028.4235,372031.4391,384786.1373,396717.71,404486.4605,407695.2968,405310.9782,400249.0378,394115.6752,388469.7876,381303.828,372685.4192,364536.8355,361452.1468,363444.4224,368738.9588,373596.8952,378775.5391,382019.5418
