,NAME,S1901_C01_001E
1544, 78744,14857
1545, 78745,26330
1546, 78746,10867
1547, 78747,6558
1548, 78748,19385
1549, 78749,15428
1550, 78750,11724
1551, 78751,7605
1552, 78752,8188
1553, 78753,20121
1554, 78754,8192
1555, 78756,4336
1556, 78757,10720
1557, 78758,19976
1558, 78759,20454
1559, 78801,7193
1560, 78802,79
1561, 78827,412
1562, 78828,30
1563, 78829,306
1564, 78830,259
1565, 78832,1170
1566, 78833,528
1567, 78834,2555
1568, 78836,70
1569, 78837,101
1570, 78838,83
1571, 78839,2672
1572, 78840,15257
1573, 78843,35
1574, 78850,397
1575, 78851,22
1576, 78852,15970
1577, 78860,23
1578, 78861,3842
1579, 78870,289
1580, 78871,24
1581, 78872,544
1582, 78873,738
1583, 78877,255
1584, 78879,61
1585, 78880,586
1586, 78881,696
1587, 78883,140
1588, 78884,430
1589, 78885,31
1590, 78886,149
1591, 78931,110
1592, 78932,181
1593, 78933,540
1594, 78934,2196
1595, 78935,394
1596, 78938,126
1597, 78940,867
1598, 78941,1010
1599, 78942,2979
1600, 78943,111
1601, 78944,247
1602, 78945,3941
1603, 78946,484
1604, 78947,1715
1605, 78948,303
1606, 78949,206
1607, 78950,762
1608, 78951,0
1609, 78953,400
1610, 78954,518
1611, 78956,1828
1612, 78957,3537
1613, 78959,690
1614, 78962,2076
1615, 78963,356
1616, 79001,76
1617, 79003,70
1618, 79005,588
1619, 79007,4704
1620, 79009,599
1621, 79010,172
1622, 79011,92
1623, 79012,526
1624, 79013,1046
1625, 79014,1310
1626, 79015,7723
1627, 79016,0
1628, 79018,158
1629, 79019,652
1630, 79021,52
1631, 79022,3369
1632, 79024,176
1633, 79025,24
1634, 79027,1601
1635, 79029,4892
1636, 79031,507
1637, 79032,22
1638, 79033,37
1639, 79034,211
1640, 79035,1707
1641, 79036,1764
1642, 79039,366
1643, 79040,575
1644, 79041,1105
1645, 79042,425
1646, 79043,466
1647, 79044,305
1648, 79045,6156
1649, 79046,249
1650, 79051,0
1651, 79052,427
1652, 79053,41
1653, 79054,249
1654, 79056,28
1655, 79057,524
1656, 79058,0
1657, 79059,264
1658, 79061,150
1659, 79062,55
1660, 79063,242
1661, 79064,873
1662, 79065,7325
1663, 79068,1264
1664, 79070,3317
1665, 79072,8584
1666, 79078,97
1667, 79079,1156
1668, 79080,206
1669, 79081,1339
1670, 79082,85
1671, 79083,718
1672, 79084,784
1673, 79085,12
1674, 79086,713
1675, 79087,255
1676, 79088,1843
1677, 79091,43
1678, 79092,345
1679, 79093,52
1680, 79094,17
1681, 79095,948
1682, 79096,816
1683, 79097,319
1684, 79098,143
1685, 79101,1164
1686, 79102,4183
1687, 79103,3980
1688, 79104,2400
1689, 79105,0
1690, 79106,11422
1691, 79107,11349
1692, 79108,4256
1693, 79109,18257
1694, 79110,6911
1695, 79111,576
1696, 79118,7768
1697, 79119,6349
1698, 79121,2579
1699, 79124,3402
1700, 79201,2250
1701, 79220,91
1702, 79225,362
1703, 79226,1096
1704, 79227,569
1705, 79229,143
1706, 79230,42
1707, 79231,26
1708, 79233,58
1709, 79234,14
1710, 79235,1389
1711, 79236,87
1712, 79237,188
1713, 79239,100
1714, 79240,12
1715, 79241,878
1716, 79243,32
1717, 79244,301
1718, 79245,982
1719, 79247,25
1720, 79248,665
1721, 79250,499
1722, 79251,10
1723, 79252,1176
1724, 79255,234
1725, 79256,131
1726, 79257,393
1727, 79258,20
1728, 79259,26
1729, 79261,166
1730, 79311,1264
1731, 79312,362
1732, 79313,552
1733, 79314,29
1734, 79316,3589
1735, 79322,742
1736, 79323,2197
1737, 79324,11
1738, 79325,842
1739, 79326,46
1740, 79329,1122
1741, 79330,31
1742, 79331,4156
1743, 79336,5980
1744, 79339,2304
1745, 79342,141
1746, 79343,536
1747, 79344,15
1748, 79345,342
1749, 79346,790
1750, 79347,2219
1751, 79350,139
1752, 79351,493
1753, 79353,10
1754, 79355,646
1755, 79356,1585
1756, 79357,759
1757, 79358,408
1758, 79359,845
1759, 79360,4575
1760, 79363,1913
1761, 79364,3017
1762, 79366,444
1763, 79367,237
1764, 79369,54
1765, 79370,599
1766, 79371,537
1767, 79372,431
1768, 79373,1137
1769, 79376,18
1770, 79377,85
1771, 79378,100
1772, 79379,177
1773, 79380,53
1774, 79381,507
1775, 79382,2532
1776, 79401,3321
1777, 79403,5766
1778, 79404,3299
1779, 79406,0
1780, 79407,9145
1781, 79410,3939
1782, 79411,3230
1783, 79412,5582
1784, 79413,8539
1785, 79414,7834
1786, 79415,6257
1787, 79416,13048
1788, 79423,14434
1789, 79424,18627
1790, 79501,1093
1791, 79502,536
1792, 79503,48
1793, 79504,1127
1794, 79505,106
1795, 79506,388
1796, 79508,528
1797, 79510,2782
1798, 79511,471
1799, 79512,2115
1800, 79517,88
1801, 79518,17
1802, 79519,27
1803, 79520,916
1804, 79521,1301
1805, 79525,998
1806, 79526,408
1807, 79527,80
1808, 79528,302
1809, 79529,493
1810, 79530,213
1811, 79532,257
1812, 79533,160
1813, 79534,40
1814, 79535,79
1815, 79536,1879
1816, 79537,19
1817, 79538,105
1818, 79539,81
1819, 79540,32
1820, 79541,336
1821, 79543,449
1822, 79544,219
1823, 79545,674
1824, 79546,778
1825, 79547,311
1826, 79548,64
1827, 79549,5379
1828, 79553,1573
1829, 79556,4651
1830, 79560,88
1831, 79561,273
1832, 79562,1295
1833, 79563,399
1834, 79565,82
1835, 79566,162
1836, 79567,1202
1837, 79601,7611
1838, 79602,8197
1839, 79603,8364
1840, 79605,11114
1841, 79606,10108
1842, 79607,628
1843, 79699,0
1844, 79701,9656
1845, 79703,7646
1846, 79705,14442
1847, 79706,7795
1848, 79707,14550
1849, 79713,165
1850, 79714,5508
1851, 79718,311
1852, 79719,162
1853, 79720,10540
1854, 79730,89
1855, 79731,1411
1856, 79733,69
1857, 79734,990
1858, 79735,3825
1859, 79738,106
1860, 79739,363
1861, 79741,115
1862, 79742,178
1863, 79743,107
1864, 79744,459
1865, 79745,2289
1866, 79748,70
1867, 79749,113
1868, 79752,839
1869, 79754,33
1870, 79755,58
1871, 79756,3303
1872, 79758,768
1873, 79759,8
1874, 79761,11322
1875, 79762,15683
1876, 79763,11703
1877, 79764,7205
1878, 79765,5272
1879, 79766,1788
1880, 79770,19
1881, 79772,3282
1882, 79777,81
1883, 79778,400
1884, 79780,102
1885, 79781,109
1886, 79782,1297
1887, 79783,84
1888, 79785,27
1889, 79788,200
1890, 79789,259
1891, 79821,1905
1892, 79830,3284
1893, 79831,4
1894, 79834,85
1895, 79835,3063
1896, 79836,1686
1897, 79837,140
1898, 79838,1917
1899, 79839,432
1900, 79842,206
1901, 79843,837
1902, 79845,1761
1903, 79846,17
1904, 79847,81
1905, 79848,365
1906, 79849,3352
1907, 79851,176
1908, 79852,363
1909, 79853,676
1910, 79854,57
1911, 79855,659
1912, 79901,3835
1913, 79902,8050
1914, 79903,6067
1915, 79904,11006
1916, 79905,7683
1917, 79906,1189
1918, 79907,16483
1919, 79908,854
1920, 79911,1947
1921, 79912,28539
1922, 79915,12274
1923, 79916,6
1924, 79920,0
1925, 79922,2611
1926, 79924,19824
1927, 79925,14669
1928, 79927,11119
1929, 79928,15201
1930, 79930,10279
1931, 79932,8986
1932, 79934,8917
1933, 79935,6155
1934, 79936,35120
1935, 79938,22438
1936, 79942,10
1937, 88063,4042
1938, 88220,13528
1939, 88430,54
