,NAME,S1901_C01_001E
365, 75929,705
366, 75930,750
367, 75931,900
368, 75932,573
369, 75933,444
370, 75934,68
371, 75935,4827
372, 75936,326
373, 75937,339
374, 75938,1046
375, 75939,1870
376, 75941,2629
377, 75942,67
378, 75943,515
379, 75944,532
380, 75946,1338
381, 75948,2533
382, 75949,2873
383, 75951,5448
384, 75954,1083
385, 75956,3109
386, 75959,274
387, 75960,305
388, 75961,6163
389, 75962,0
390, 75964,6825
391, 75965,7504
392, 75966,1680
393, 75968,682
394, 75969,1374
395, 75972,2407
396, 75973,1069
397, 75974,1236
398, 75975,1402
399, 75976,249
400, 75977,254
401, 75978,51
402, 75979,3525
403, 75980,1043
404, 76001,10116
405, 76002,9646
406, 76006,11700
407, 76008,5796
408, 76009,6902
409, 76010,17389
410, 76011,9626
411, 76012,10342
412, 76013,13193
413, 76014,10883
414, 76015,6267
415, 76016,11245
416, 76017,16972
417, 76018,9477
418, 76020,10119
419, 76021,15378
420, 76022,5722
421, 76023,2325
422, 76028,24119
423, 76031,5848
424, 76033,9831
425, 76034,8886
426, 76035,605
427, 76036,8483
428, 76039,14872
429, 76040,11478
430, 76041,161
431, 76043,2776
432, 76044,1484
433, 76048,9437
434, 76049,11174
435, 76050,2218
436, 76051,20081
437, 76052,7209
438, 76053,10770
439, 76054,4371
440, 76055,1008
441, 76058,6115
442, 76059,1569
443, 76060,2749
444, 76061,20
445, 76063,23178
446, 76064,547
447, 76065,11755
448, 76066,1053
449, 76067,6865
450, 76070,268
451, 76071,1321
452, 76073,1944
453, 76077,154
454, 76078,3143
455, 76082,6392
456, 76084,2337
457, 76085,3572
458, 76086,8157
459, 76087,9640
460, 76088,4048
461, 76092,9165
462, 76093,666
463, 76102,3542
464, 76103,5056
465, 76104,6306
466, 76105,6566
467, 76106,10292
468, 76107,14065
469, 76108,15336
470, 76109,9737
471, 76110,10378
472, 76111,6641
473, 76112,16491
474, 76114,8893
475, 76115,5847
476, 76116,21506
477, 76117,10270
478, 76118,5521
479, 76119,14423
480, 76120,7191
481, 76123,10647
482, 76126,8496
483, 76127,62
484, 76129,0
485, 76131,12313
486, 76132,12711
487, 76133,18264
488, 76134,8320
489, 76135,8152
490, 76137,19982
491, 76140,9606
492, 76148,7775
493, 76155,2888
494, 76164,4379
495, 76177,3618
496, 76179,19425
497, 76180,14390
498, 76182,11071
499, 76201,9927
500, 76205,7548
501, 76207,5431
502, 76208,8036
503, 76209,9122
504, 76210,14656
505, 76225,1056
506, 76226,8292
507, 76227,10543
508, 76228,355
509, 76230,4111
510, 76233,1201
511, 76234,5895
512, 76238,151
513, 76239,514
514, 76240,10822
515, 76244,24115
516, 76245,812
517, 76247,4246
518, 76248,12983
519, 76249,2852
520, 76250,404
521, 76251,267
522, 76252,1052
523, 76253,96
524, 76255,2294
525, 76258,2643
526, 76259,1861
527, 76261,100
528, 76262,12350
529, 76263,53
530, 76264,650
531, 76265,641
532, 76266,5365
533, 76268,98
534, 76270,649
535, 76271,591
536, 76272,1550
537, 76273,3579
538, 76301,6485
539, 76302,4980
540, 76305,1849
541, 76306,5744
542, 76308,8048
543, 76309,5186
544, 76310,7214
545, 76311,635
546, 76351,839
547, 76354,4883
548, 76357,224
549, 76360,1609
550, 76363,157
551, 76364,60
552, 76365,1784
553, 76366,722
554, 76367,3672
555, 76370,119
556, 76371,544
557, 76372,446
558, 76373,83
559, 76374,1648
560, 76377,317
561, 76379,176
562, 76380,1492
563, 76384,5029
564, 76388,103
565, 76389,497
566, 76401,10265
567, 76402,0
568, 76424,3016
569, 76426,4205
570, 76427,294
571, 76429,79
572, 76430,888
573, 76431,1174
574, 76432,503
575, 76433,567
576, 76435,194
577, 76436,88
578, 76437,2077
579, 76442,2940
580, 76443,932
581, 76444,1513
582, 76445,108
583, 76446,2696
584, 76448,1894
585, 76449,978
586, 76450,5071
587, 76452,26
588, 76453,569
589, 76454,551
590, 76455,349
591, 76457,1318
592, 76458,2012
593, 76459,106
594, 76460,134
595, 76462,1140
596, 76463,183
597, 76464,233
598, 76466,146
599, 76469,37
600, 76470,1195
601, 76471,685
602, 76472,717
603, 76474,97
604, 76475,334
605, 76476,989
606, 76481,54
607, 76483,485
608, 76484,375
609, 76486,468
610, 76487,1034
611, 76490,45
612, 76491,141
613, 76501,6236
614, 76502,14826
615, 76504,8929
616, 76508,0
617, 76511,736
618, 76513,13268
619, 76518,543
620, 76519,115
621, 76520,2944
622, 76522,13561
623, 76523,0
624, 76524,1038
625, 76525,437
626, 76527,1233
627, 76528,6123
628, 76530,740
629, 76531,1928
630, 76534,961
631, 76537,1805
632, 76538,303
633, 76539,3132
634, 76541,7762
635, 76542,17384
636, 76543,11899
637, 76544,3793
638, 76548,10363
639, 76549,17267
640, 76550,4950
641, 76554,714
642, 76556,542
643, 76557,1854
644, 76559,2062
645, 76561,400
646, 76565,41
647, 76566,124
648, 76567,3723
649, 76569,792
650, 76570,848
651, 76571,2693
652, 76573,9
653, 76574,6531
654, 76577,1194
655, 76578,456
656, 76579,1524
657, 76596,0
658, 76597,0
659, 76598,0
660, 76599,0
661, 76621,334
662, 76622,400
663, 76623,56
664, 76624,734
665, 76626,423
666, 76627,521
667, 76628,19
668, 76629,714
669, 76630,390
670, 76631,181
671, 76632,531
672, 76633,1867
673, 76634,2847
674, 76635,403
675, 76636,556
676, 76637,239
677, 76638,1125
678, 76639,584
679, 76640,1220
680, 76641,646
681, 76642,2408
682, 76643,5164
683, 76645,3606
684, 76648,1003
685, 76649,261
686, 76650,54
687, 76651,1237
688, 76652,499
689, 76653,440
690, 76654,55
691, 76655,3024
692, 76656,722
693, 76657,3443
694, 76660,175
695, 76661,2293
696, 76664,1262
697, 76665,981
698, 76666,118
699, 76667,3704
700, 76670,499
701, 76671,734
702, 76673,478
703, 76676,106
704, 76678,74
705, 76679,526
706, 76680,99
707, 76681,258
708, 76682,1020
709, 76685,20
710, 76686,88
711, 76687,749
712, 76689,1277
713, 76690,371
714, 76691,2366
715, 76692,4116
716, 76693,540
717, 76701,724
718, 76704,3173
719, 76705,10477
720, 76706,13206
721, 76707,5015
722, 76708,9550
723, 76710,10653
724, 76711,3265
725, 76712,9922
726, 76798,0
727, 76801,9155
728, 76802,1900
729, 76820,75
730, 76821,1737
731, 76823,1105
732, 76824,11
733, 76825,2658
734, 76827,159
735, 76828,81
736, 76831,19
737, 76832,219
738, 76834,2243
739, 76836,12
740, 76837,595
741, 76841,17
742, 76842,70
743, 76844,1293
744, 76845,102
745, 76848,37
746, 76849,1650
747, 76852,103
748, 76853,530
749, 76854,157
750, 76856,1478
751, 76857,746
752, 76858,101
753, 76859,911
754, 76861,608
755, 76862,73
756, 76864,295
757, 76865,62
758, 76866,179
759, 76869,36
760, 76870,82
761, 76871,312
762, 76872,387
763, 76873,22
764, 76874,0
765, 76875,242
766, 76877,1469
767, 76878,681
768, 76882,106
769, 76884,48
770, 76885,101
771, 76887,70
772, 76888,66
773, 76890,348
774, 76901,11403
775, 76903,11842
776, 76904,14077
777, 76905,4404
778, 76908,0
779, 76930,42
780, 76932,1148
781, 76933,565
782, 76934,368
783, 76935,633
784, 76936,1105
785, 76937,14
786, 76939,5
787, 76940,53
788, 76941,548
789, 76943,1358
790, 76945,835
791, 76949,0
792, 76950,1494
793, 76951,462
794, 76953,68
795, 76955,63
796, 76957,0
797, 76958,67
798, 77002,3739
799, 77003,4544
800, 77004,13036
801, 77005,10118
802, 77006,12862
803, 77007,19602
804, 77008,16262
805, 77009,13848
806, 77010,576
807, 77011,5831
808, 77012,5997
809, 77013,5937
810, 77014,11583
811, 77015,17306
812, 77016,9741
813, 77017,9953
814, 77018,11067
815, 77019,10935
816, 77020,8454
817, 77021,10904
818, 77022,9398
819, 77023,9744
820, 77024,15173
821, 77025,12819
822, 77026,7995
823, 77027,9245
824, 77028,5654
825, 77029,5697
826, 77030,4876
827, 77031,6000
828, 77032,4210
829, 77033,8996
830, 77034,12371
831, 77035,14126
832, 77036,26917
833, 77037,5428
834, 77038,8731
835, 77039,7570
836, 77040,17924
837, 77041,11484
838, 77042,19198
839, 77043,9200
840, 77044,13456
841, 77045,10475
842, 77046,678
843, 77047,9816
844, 77048,5753
845, 77049,10639
846, 77050,1428
847, 77051,6427
848, 77053,8613
849, 77054,12614
850, 77055,15178
